Date;Go. A $/Tn.;Date;Brent Dated ($/Barrel)
09/01/2005;407,05;09/01/2005;41,76
16/01/2005;422,88;16/01/2005;44,59
23/01/2005;428,81;23/01/2005;45,08
31/01/2005;442,03;31/01/2005;45,6
09/02/2005;419,35;09/02/2005;43,38
16/02/2005;426,5;16/02/2005;44,66
23/02/2005;459,23;23/02/2005;46,63
28/02/2005;492,4;28/02/2005;49,81
09/03/2005;516,94;09/03/2005;52,25
16/03/2005;524,07;16/03/2005;53,69
23/03/2005;535,83;23/03/2005;54,94
31/03/2005;529,53;31/03/2005;51,87
09/04/2005;551,99;09/04/2005;53,85
16/04/2005;506,94;16/04/2005;50,43
23/04/2005;512,82;23/04/2005;51,23
30/04/2005;507,36;30/04/2005;51,64
09/05/2005;488,18;09/05/2005;49,99
16/05/2005;468,27;16/05/2005;48,04
23/05/2005;463,28;23/05/2005;47,15
31/05/2005;482,51;31/05/2005;49,05
09/06/2005;532,49;09/06/2005;51,6
16/06/2005;552,23;16/06/2005;53,18
23/06/2005;551,91;23/06/2005;56,89
30/06/2005;552,86;30/06/2005;56,85
09/07/2005;580,54;09/07/2005;57,72
16/07/2005;564,26;16/07/2005;57,43
23/07/2005;542,35;23/07/2005;56,39
31/07/2005;550,83;31/07/2005;58,5
09/08/2005;574,19;09/08/2005;61,06
16/08/2005;619,84;16/08/2005;65,74
23/08/2005;619,48;23/08/2005;64,08
31/08/2005;648,22;31/08/2005;65,85
09/09/2005;660,91;09/09/2005;64,13
16/09/2005;611,65;16/09/2005;61,22
23/09/2005;643,49;23/09/2005;63,63
30/09/2005;662,45;30/09/2005;62,16
09/10/2005;646,64;09/10/2005;58,93
16/10/2005;640,75;16/10/2005;58,59
23/10/2005;616,95;23/10/2005;58,15
31/10/2005;608,69;31/10/2005;58,49
09/11/2005;571,67;09/11/2005;58,43
16/11/2005;543,51;16/11/2005;54,48
23/11/2005;544,61;23/11/2005;53,59
30/11/2005;527,01;30/11/2005;53,19
09/12/2005;541,73;09/12/2005;55,56
16/12/2005;558,74;16/12/2005;58,75
23/12/2005;537,78;23/12/2005;56,36
31/12/2005;535,92;31/12/2005;57,18
09/01/2006;567,8;09/01/2006;61,88
16/01/2006;560,65;16/01/2006;62,15
23/01/2006;582,45;23/01/2006;63,99
31/01/2006;582,04;31/01/2006;63,77
09/02/2006;565,89;09/02/2006;62,59
16/02/2006;551,35;16/02/2006;58,31
23/02/2006;568,25;23/02/2006;59,03
28/02/2006;575,42;28/02/2006;59,78
09/03/2006;587,04;09/03/2006;60,65
16/03/2006;586,55;16/03/2006;61,52
23/03/2006;586,95;23/03/2006;61,76
31/03/2006;600,04;31/03/2006;64,43
09/04/2006;610,75;09/04/2006;66,93
16/04/2006;631,94;16/04/2006;68,91
23/04/2006;667,81;23/04/2006;72,07
30/04/2006;670,8;30/04/2006;72,84
09/05/2006;657,58;09/05/2006;71,92
16/05/2006;670,35;16/05/2006;70,14
23/05/2006;644,4;23/05/2006;67,47
31/05/2006;655,1;31/05/2006;68,9
09/06/2006;664,25;09/06/2006;68,09
16/06/2006;659,8;16/06/2006;66,17
23/06/2006;653,95;23/06/2006;68,33
